gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
M,LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,05/26/1998,1998
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006
M,DLC,Department of Liquor Control,Westwood,Parttime-Regular,Liquor Store Clerk I,10/20/2014,2014
M,POL,Department of Police,PSB 3rd District Educational Facilities Officers,Fulltime-Regular,Police Officer III,07/19/2004,2004
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,08/20/2007,2007
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Fire/Rescue Captain,02/17/1985,1985
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,08/26/2013,2013
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,12/05/2010,2010
F,COR,Correction and Rehabilitation,PRRS Pre-Release and Reentry Services,Fulltime-Regular,Principal Administrative Aide,01/14/2013,2013
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Program Specialist II,01/24/1994,1994
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2007,2007
M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/04/2007,2007
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,11/13/2007,2007
F,DLC,Department of Liquor Control,Westwood,Fulltime-Regular,Liquor Store Manager,08/31/1999,1999
M,DLC,Department of Liquor Control,Wheaton,Fulltime-Regular,Liquor Store Assistant Manager,09/18/1998,1998
M,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,Fulltime-Regular,Police Officer III,07/17/2006,2006
M,FRS,Fire and Rescue Services,Fourth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,02/08/1999,1999
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Fire/Rescue Lieutenant,11/17/1997,1997
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,01/16/1990,1990
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/28/2008,2008
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,02/06/2006,2006
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,09/19/2016,2016
F,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
M,REC,Department of Recreation,Lawton Community Recreation Center,Fulltime-Regular,Recreation Specialist,06/01/2003,2003
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/02/2001,2001
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/16/2008,2008
F,DLC,Department of Liquor Control,Burtonsville,Parttime-Regular,Liquor Store Clerk I,08/19/2007,2007
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,05/21/1990,1990
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
M,DLC,Department of Liquor Control,Downtown Rockville,Parttime-Regular,Liquor Store Clerk I,02/22/2016,2016
F,LIB,Department of Public Libraries,Potomac Library,Fulltime-Regular,Librarian I,12/05/2014,2014
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,12/30/2013,2013
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,11/12/1991,1991
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),04/28/2015,2015
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/18/2005,2005
F,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Manager I,10/03/1999,1999
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/08/2012,2012
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist I,11/28/2016,2016
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/04/2016,2016
F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Services Aide III,02/04/2008,2008
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker I,08/08/2016,2016
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,11/17/1986,1986
F,REC,Department of Recreation,Finance/Payroll/Budget,Fulltime-Regular,Program Aide,11/13/2007,2007
F,DLC,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Clerk II,04/06/2015,2015
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,01/03/1995,1995
F,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist III,09/28/1999,1999
F,OHR,Office of Human Resources,Director's Office,Fulltime-Regular,Senior Executive Administrative Aide,08/14/2000,2000
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016
F,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),06/01/2010,2010
F,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,01/16/2007,2007
F,DTS,Department of Technology Services,CIOs Office,Fulltime-Regular,Manager II,01/05/2009,2009
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,03/08/2016,2016
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Executive Administrative Aide,10/29/1979,1979
F,HHS,Department of Health and Human Services,Fiscal Team,Fulltime-Regular,Management and Budget Specialist III,01/09/2006,2006
M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Fire/Rescue Captain,11/29/1999,1999
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,11/04/2002,2002
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,08/14/2007,2007
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/14/2008,2008
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),09/23/2002,2002
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,04/19/2004,2004
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006
M,POL,Department of Police,PSB 4th District Community Action Team,Fulltime-Regular,Police Officer III,07/21/2003,2003
F,POL,Department of Police,MSB Personnel Division Recruitment Section,Fulltime-Regular,Police Officer III,01/10/2003,2003
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Manager III,04/04/2016,2016
M,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Senior Management and Budget Specialist,12/17/2012,2012
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,10/22/2000,2000
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,02/06/1995,1995
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,06/25/1990,1990
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide I,10/07/2013,2013
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,09/20/2004,2004
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/26/1999,1999
M,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Information Technology Specialist III,11/01/1999,1999
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,05/07/2012,2012
M,DOT,Department of Transportation,Transit Services,Fulltime-Regular,Manager I,09/16/2002,2002
M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Program Manager II,07/20/1987,1987
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2007,2007
F,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Management and Budget Specialist III,09/29/1986,1986
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Plumber I,07/25/2016,2016
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,10/08/2001,2001
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,10/29/2007,2007
F,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,11/16/1992,1992
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff Sergeant,09/18/1995,1995
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide II,09/23/1985,1985
M,POL,Department of Police,PSB 4th District Station,Fulltime-Regular,Police Officer III,09/24/1996,1996
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,12/10/2007,2007
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,02/11/2002,2002
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Civil Works Designer,07/23/2007,2007
F,LIB,Department of Public Libraries,Damascus Library,Parttime-Regular,Library Desk Assistant,09/28/2000,2000
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2006,2006
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Motor Pool Attendant,05/15/1989,1989
M,DPS,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,06/15/1987,1987
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,07/16/2012,2012
F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,09/05/2006,2006
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,06/03/2002,2002
M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector II,12/30/2013,2013
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/21/2011,2011
F,DOT,Department of Transportation,Transit Special Transportation and Medicaid,Fulltime-Regular,Income Assistance Program Specialist II,05/30/2006,2006
M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Supervisor Parking Meter Unit,05/14/2007,2007
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,05/06/2001,2001
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,02/22/1994,1994
F,HCA,Department of Housing and Community Affairs,Licensing,Fulltime-Regular,Program Manager II,05/22/1989,1989
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,04/04/2016,2016
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,09/26/1994,1994
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,11/29/2004,2004
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/05/2002,2002
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
M,DLC,Department of Liquor Control,Administrative Services,Fulltime-Regular,Warehouse Assistant Supervisor,08/10/1992,1992
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013
F,DLC,Department of Liquor Control,Retail Administration,Fulltime-Regular,Program Manager II,08/29/1991,1991
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,08/13/2012,2012
M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Communications Equipment Technician II,03/06/2006,2006
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012
M,FRS,Fire and Rescue Services,Volunteer and Community Services Division,Fulltime-Regular,Division Chief MCFRS Volunteer Services,03/14/2005,2005
M,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Latent Print Examiner,08/25/2003,2003
M,POL,Department of Police,Patrol Services Bureau,Fulltime-Regular,Police Officer I,06/01/2015,2015
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,03/17/2008,2008
M,LIB,Department of Public Libraries,Technology Management,Parttime-Regular,Information Technology Technician I,10/08/2012,2012
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,03/17/2008,2008
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/08/1988,1988
M,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Master Firefighter/Rescuer,02/14/2000,2000
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,10/17/2005,2005
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,08/27/1990,1990
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/05/2015,2015
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,05/15/1989,1989
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer II,02/27/2012,2012
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Public Service Craftsworker,06/04/1989,1989
M,HHS,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Manager III,11/18/1991,1991
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Master Firefighter/Rescuer,09/11/2000,2000
F,CEC,Community Engagement Cluster,Gilchrist Center,Fulltime-Regular,Program Manager I,02/21/2006,2006
M,REC,Department of Recreation,Olney Indoor Pool,Fulltime-Regular,Recreation Specialist,02/14/2000,2000
F,HHS,Department of Health and Human Services,Support Planning,Fulltime-Regular,Program Specialist II,06/28/2004,2004
M,HHS,Department of Health and Human Services,Adult Intensive Outpatient Services,Fulltime-Regular,Therapist II,08/27/1990,1990
M,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,08/08/2016,2016
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Assistant II,02/19/2008,2008
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,12/11/1989,1989
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/07/1998,1998
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Fire/Rescue Lieutenant,02/22/1994,1994
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Master Firefighter/Rescuer,08/17/1998,1998
F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,02/07/2000,2000
M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,02/14/2000,2000
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,06/16/2003,2003
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/09/1999,1999
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/26/2015,2015
M,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Manager II,08/13/2001,2001
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/10/2003,2003
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/09/2012,2012
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,12/10/1995,1995
F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Parttime-Regular,Program Specialist II,01/02/2001,2001
M,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Manager II,11/05/2012,2012
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
F,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,04/04/2016,2016
F,CCL,County Council,Council Members and Staff,Parttime-Regular,Legislative Senior Aide II,07/15/2013,2013
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,05/30/2006,2006
M,FRS,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
F,POL,Department of Police,PSB 5th District Traffic Squad,Fulltime-Regular,Police Officer III,07/26/1993,1993
F,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Program Manager II,12/17/1986,1986
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
M,POL,Department of Police,PSB 6th District Traffic Squad,Fulltime-Regular,Police Officer III,09/29/1997,1997
F,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/16/2016,2016
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,11/28/2016,2016
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,12/13/2004,2004
F,LIB,Department of Public Libraries,Chevy Chase Library,Parttime-Regular,Library Assistant I,03/14/2000,2000
M,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Police Officer III,07/21/2003,2003
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,04/10/1989,1989
F,HHS,Department of Health and Human Services,Infants and Toddlers,Parttime-Regular,Psychologist,07/24/2006,2006
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,09/04/2007,2007
M,CEX,Offices of the County Executive,CountyStat,Fulltime-Regular,Management and Budget Specialist III,06/03/2013,2013
F,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),10/31/2005,2005
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Construction Representative III,02/16/1993,1993
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,03/12/2001,2001
M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,05/31/2005,2005
F,DLC,Department of Liquor Control,Aspen Hill,Fulltime-Regular,Liquor Store Clerk II,01/09/2006,2006
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,01/18/2005,2005
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,08/07/1989,1989
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,09/29/2008,2008
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,02/25/2013,2013
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/08/2016,2016
M,POL,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Sergeant,08/19/1996,1996
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,03/17/2008,2008
F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Assistant I,04/30/1988,1988
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,09/12/2011,2011
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,09/25/2000,2000
F,HHS,Department of Health and Human Services,Cancer and Tobacco Prevention,Fulltime-Regular,Nurse Manager,03/06/2006,2006
F,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Police Officer III,01/31/1982,1982
M,REC,Department of Recreation,Youth Development Your Sports/Activities,Fulltime-Regular,Recreation Specialist,11/05/2012,2012
F,LIB,Department of Public Libraries,Director,Fulltime-Regular,Administrative Specialist II,08/21/2006,2006
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/01/2010,2010
F,POL,Department of Police,PSB 1st District Educational Facilities Officers,Fulltime-Regular,Police Officer III,02/06/1995,1995
M,POL,Department of Police,ISB Major Crimes Division Cold Case Section,Fulltime-Regular,Police Sergeant,06/13/1994,1994
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Survey Instrument Technician,09/19/1988,1988
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/27/2014,2014
M,DOT,Department of Transportation,Traffic Engineering Design and Operations,Fulltime-Regular,Engineer II,08/22/2016,2016
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),05/19/2003,2003
M,POL,Department of Police,MSB Management and Budget Division False Alarm Reduction Unit,Fulltime-Regular,Program Manager II,04/22/2013,2013
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,03/06/1989,1989
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,09/19/2016,2016
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,02/09/2015,2015
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/24/2011,2011
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,03/01/1999,1999
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Fire/Rescue Lieutenant,09/11/2000,2000
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Librarian I,12/02/2013,2013
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/28/1998,1998
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/14/2008,2008
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,01/23/1995,1995
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,12/02/2013,2013
F,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,05/05/2014,2014
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,04/19/1987,1987
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,11/10/2008,2008
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Fire/Rescue Captain,11/29/1999,1999
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,11/18/1991,1991
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,07/29/2013,2013
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/03/2002,2002
F,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/06/1997,1997
M,FRS,Fire and Rescue Services,Station 20,Fulltime-Regular,Master Firefighter/Rescuer,02/20/2001,2001
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer II (PFC),03/09/2015,2015
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/27/2014,2014
F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Senior Latent Print Examiner,11/24/1986,1986
F,REC,Department of Recreation,Management Services,Fulltime-Regular,Manager III,09/21/1984,1984
M,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Officer III,07/12/2010,2010
M,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,02/28/2016,2016
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Parttime-Regular,Public Safety Telephone Reporting Aide I,01/02/1990,1990
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Program Specialist I,03/08/2004,2004
